,Unnamed: 0,doc_id,doc_index,p_sentence_processed,p_index,entity,entity_id,entity_index,categ,tipo,subtipo,tipo_final,tiporel,corel
0,762,2ght33-2,13,Da Bauhaus para ... a House :,125,Bauhaus,2ght33-2-1,0,ABSTRACCAO|PESSOA,DISCIPLINA|GRUPOMEMBRO,,organizacao,,
1,763,2ght33-2,13,Da Bauhaus para ... a House :,125,House,2ght33-2-2,1,ABSTRACCAO,DISCIPLINA,,abstraccao,,
2,764,2ght33-2,13,"""Eu estou tentando mostrar minha idéia de como será a vida no século vinte e um . A tecnologia vai moldar a maneira como pensamos. Por exemplo, à medida que as coisas ficam mais caras, o espaço se torna uma coisa rarefeita. Posso ver isso já acontecendo em Londres . Logo, a tecnologia vai criar espaços de outras formas. Espaços virtuais. Espaços sonoros.""",126,no século vinte e um,2ght33-2-74,0,TEMPO,TEMPO_CALEND,DATA,tempo,,
3,765,2ght33-2,13,"""Eu estou tentando mostrar minha idéia de como será a vida no século vinte e um . A tecnologia vai moldar a maneira como pensamos. Por exemplo, à medida que as coisas ficam mais caras, o espaço se torna uma coisa rarefeita. Posso ver isso já acontecendo em Londres . Logo, a tecnologia vai criar espaços de outras formas. Espaços virtuais. Espaços sonoros.""",126,Londres,2ght33-2-75,1,LOCAL,HUMANO,DIVISAO,local,,
4,766,2ght33-2,13,"O tecno de Detroit é arquitetura. É por isso que não há progressão narrativa, mudanças de acordes, desdobramentos temáticos, nem contraponto. Espaços sonoros, não som viajando através do tempo. ""Tão poucas pessoas entendem isso"", diz Mills , falando em minimalismo, ""Como só deixar a coisa tocar...""",127,Detroit,2ght33-2-76,0,LOCAL|ABSTRACCAO,HUMANO|IDEIA,DIVISAO|,local,,
5,767,2ght33-2,13,"O tecno de Detroit é arquitetura. É por isso que não há progressão narrativa, mudanças de acordes, desdobramentos temáticos, nem contraponto. Espaços sonoros, não som viajando através do tempo. ""Tão poucas pessoas entendem isso"", diz Mills , falando em minimalismo, ""Como só deixar a coisa tocar...""",127,Mills,2ght33-2-77,1,PESSOA,INDIVIDUAL,,individuo,natural_de,2ght33-2-76
6,768,2ght33-2,13,"Os carros e edifícios se desmaterializaram em resposta à tração do futuro. ""Nós estamos quase fora da fase do territorial"", diz Mills . Detroit , a primeira cidade portátil. Seus habitantes a virtualizaram muito tempo atrás . ""Isto é o que muitas pessoas costumavam fazer em Detroit . Nós poderíamos criar uma canção só para a ambiência, só para o local onde você mora, e deixá-la rolar por todo o dia . Esta não é a música que você vai eventualmente colocar num DAT e vender. É música habitável.""",128,Mills,2ght33-2-78,0,PESSOA,INDIVIDUAL,,individuo,ident,2ght33-2-77
7,769,2ght33-2,13,"Os carros e edifícios se desmaterializaram em resposta à tração do futuro. ""Nós estamos quase fora da fase do territorial"", diz Mills . Detroit , a primeira cidade portátil. Seus habitantes a virtualizaram muito tempo atrás . ""Isto é o que muitas pessoas costumavam fazer em Detroit . Nós poderíamos criar uma canção só para a ambiência, só para o local onde você mora, e deixá-la rolar por todo o dia . Esta não é a música que você vai eventualmente colocar num DAT e vender. É música habitável.""",128,Detroit,2ght33-2-79,1,LOCAL,HUMANO,DIVISAO,local,ident,2ght33-2-76
8,770,2ght33-2,13,"Os carros e edifícios se desmaterializaram em resposta à tração do futuro. ""Nós estamos quase fora da fase do territorial"", diz Mills . Detroit , a primeira cidade portátil. Seus habitantes a virtualizaram muito tempo atrás . ""Isto é o que muitas pessoas costumavam fazer em Detroit . Nós poderíamos criar uma canção só para a ambiência, só para o local onde você mora, e deixá-la rolar por todo o dia . Esta não é a música que você vai eventualmente colocar num DAT e vender. É música habitável.""",128,muito tempo atrás,2ght33-2-80,2,TEMPO,TEMPO_CALEND,DATA,tempo,,
9,771,2ght33-2,13,"Os carros e edifícios se desmaterializaram em resposta à tração do futuro. ""Nós estamos quase fora da fase do territorial"", diz Mills . Detroit , a primeira cidade portátil. Seus habitantes a virtualizaram muito tempo atrás . ""Isto é o que muitas pessoas costumavam fazer em Detroit . Nós poderíamos criar uma canção só para a ambiência, só para o local onde você mora, e deixá-la rolar por todo o dia . Esta não é a música que você vai eventualmente colocar num DAT e vender. É música habitável.""",128,Detroit,2ght33-2-81,3,LOCAL,HUMANO,DIVISAO,local,ident,2ght33-2-79
10,772,2ght33-2,13,"Os carros e edifícios se desmaterializaram em resposta à tração do futuro. ""Nós estamos quase fora da fase do territorial"", diz Mills . Detroit , a primeira cidade portátil. Seus habitantes a virtualizaram muito tempo atrás . ""Isto é o que muitas pessoas costumavam fazer em Detroit . Nós poderíamos criar uma canção só para a ambiência, só para o local onde você mora, e deixá-la rolar por todo o dia . Esta não é a música que você vai eventualmente colocar num DAT e vender. É música habitável.""",128,por todo o dia,2ght33-2-3,4,TEMPO,DURACAO,,tempo,,
11,773,2ght33-2,13,"Os carros e edifícios se desmaterializaram em resposta à tração do futuro. ""Nós estamos quase fora da fase do territorial"", diz Mills . Detroit , a primeira cidade portátil. Seus habitantes a virtualizaram muito tempo atrás . ""Isto é o que muitas pessoas costumavam fazer em Detroit . Nós poderíamos criar uma canção só para a ambiência, só para o local onde você mora, e deixá-la rolar por todo o dia . Esta não é a música que você vai eventualmente colocar num DAT e vender. É música habitável.""",128,DAT,2ght33-2-82,5,COISA,CLASSE,,outro,,
12,774,2ght33-2,13,"É perceptível, quando se escuta Mills , que apesar dele pensar sua música em termos concretos (cordas ""se liquefazem no corpo"" como ""ao ligar um aquecedor""), o som frequentemente parece ser só sinal para ele, só um veículo para a mensagem. Então tem essa mensagem um conteúdo? O inovador selo de Detroit Underground Resistance ( UR ), que Mills fundou com Mike Banks , costumava emplastrar suas capas com linguagem tipo-manifesto, preparando seu público para alguma indefinida revolução sônica. Logo eu quis saber se ""a mensagem"" é política.",130,Mills,2ght33-2-83,0,PESSOA,INDIVIDUAL,,individuo,ident,2ght33-2-77
13,775,2ght33-2,13,"É perceptível, quando se escuta Mills , que apesar dele pensar sua música em termos concretos (cordas ""se liquefazem no corpo"" como ""ao ligar um aquecedor""), o som frequentemente parece ser só sinal para ele, só um veículo para a mensagem. Então tem essa mensagem um conteúdo? O inovador selo de Detroit Underground Resistance ( UR ), que Mills fundou com Mike Banks , costumava emplastrar suas capas com linguagem tipo-manifesto, preparando seu público para alguma indefinida revolução sônica. Logo eu quis saber se ""a mensagem"" é política.",130,frequentemente,2ght33-2-9,1,TEMPO,FREQUENCIA,,tempo,,
14,776,2ght33-2,13,"É perceptível, quando se escuta Mills , que apesar dele pensar sua música em termos concretos (cordas ""se liquefazem no corpo"" como ""ao ligar um aquecedor""), o som frequentemente parece ser só sinal para ele, só um veículo para a mensagem. Então tem essa mensagem um conteúdo? O inovador selo de Detroit Underground Resistance ( UR ), que Mills fundou com Mike Banks , costumava emplastrar suas capas com linguagem tipo-manifesto, preparando seu público para alguma indefinida revolução sônica. Logo eu quis saber se ""a mensagem"" é política.",130,Detroit,2ght33-2-119,2,LOCAL,HUMANO,DIVISAO,local,ident,2ght33-2-79
15,777,2ght33-2,13,"É perceptível, quando se escuta Mills , que apesar dele pensar sua música em termos concretos (cordas ""se liquefazem no corpo"" como ""ao ligar um aquecedor""), o som frequentemente parece ser só sinal para ele, só um veículo para a mensagem. Então tem essa mensagem um conteúdo? O inovador selo de Detroit Underground Resistance ( UR ), que Mills fundou com Mike Banks , costumava emplastrar suas capas com linguagem tipo-manifesto, preparando seu público para alguma indefinida revolução sônica. Logo eu quis saber se ""a mensagem"" é política.",130,Underground Resistance,2ght33-2-120,3,COISA,CLASSE,,outro,,
16,778,2ght33-2,13,"É perceptível, quando se escuta Mills , que apesar dele pensar sua música em termos concretos (cordas ""se liquefazem no corpo"" como ""ao ligar um aquecedor""), o som frequentemente parece ser só sinal para ele, só um veículo para a mensagem. Então tem essa mensagem um conteúdo? O inovador selo de Detroit Underground Resistance ( UR ), que Mills fundou com Mike Banks , costumava emplastrar suas capas com linguagem tipo-manifesto, preparando seu público para alguma indefinida revolução sônica. Logo eu quis saber se ""a mensagem"" é política.",130,UR,2ght33-2-85,4,COISA,CLASSE,,outro,ident,2ght33-2-120
17,779,2ght33-2,13,"É perceptível, quando se escuta Mills , que apesar dele pensar sua música em termos concretos (cordas ""se liquefazem no corpo"" como ""ao ligar um aquecedor""), o som frequentemente parece ser só sinal para ele, só um veículo para a mensagem. Então tem essa mensagem um conteúdo? O inovador selo de Detroit Underground Resistance ( UR ), que Mills fundou com Mike Banks , costumava emplastrar suas capas com linguagem tipo-manifesto, preparando seu público para alguma indefinida revolução sônica. Logo eu quis saber se ""a mensagem"" é política.",130,Mills,2ght33-2-86,5,PESSOA,INDIVIDUAL,,individuo,ident proprietario_de,2ght33-2-77 2ght33-2-85
18,780,2ght33-2,13,"É perceptível, quando se escuta Mills , que apesar dele pensar sua música em termos concretos (cordas ""se liquefazem no corpo"" como ""ao ligar um aquecedor""), o som frequentemente parece ser só sinal para ele, só um veículo para a mensagem. Então tem essa mensagem um conteúdo? O inovador selo de Detroit Underground Resistance ( UR ), que Mills fundou com Mike Banks , costumava emplastrar suas capas com linguagem tipo-manifesto, preparando seu público para alguma indefinida revolução sônica. Logo eu quis saber se ""a mensagem"" é política.",130,Mike Banks,2ght33-2-87,6,PESSOA,INDIVIDUAL,,individuo,proprietario_de relacao_profissional,2ght33-2-85 2ght33-2-86
